run_name,timestamp_utc,model_family,model_id,ablation_trial_id,trial_id,prompt_policy,case_id,family,scenario_type,render_mode,selected_source_id,is_supported,expected_final,choice_A,choice_B,correct_answer,distractor_answer,question,prompt_sha256,ok,status_code,attempts,latency_seconds,output_text,error,usage,final_token,insufficient_like,has_correct_answer_text,has_distractor_answer_text,format_compliant,semantic_correct,admissibility_correct,answer_attempt_on_insufficient
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:33.725812+00:00,openai_frontier,openai/gpt-5.1,t01_newer_vs_older_memory_supported_clean_selected_source__original_mc,t01_newer_vs_older_memory_supported_clean_selected_source,original_mc,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",88ac13a71eb9a35cb1ea88f7ede781d198508f658c6ebd462d1cd79d872615b5,True,200,1,1.1328141689300537,morning meetings,,"{'prompt_tokens': 136, 'completion_tokens': 13, 'total_tokens': 149, 'cost': 0.0003, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0003, 'upstream_inference_prompt_cost': 0.00017, 'upstream_inference_completions_cost': 0.00013}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:35.396458+00:00,anthropic_frontier,anthropic/claude-sonnet-4.6,t01_newer_vs_older_memory_supported_clean_selected_source__original_mc,t01_newer_vs_older_memory_supported_clean_selected_source,original_mc,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",88ac13a71eb9a35cb1ea88f7ede781d198508f658c6ebd462d1cd79d872615b5,True,200,1,1.0676817893981934,morning meetings,,"{'prompt_tokens': 160, 'completion_tokens': 5, 'total_tokens': 165, 'cost': 0.000555, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000555, 'upstream_inference_prompt_cost': 0.00048, 'upstream_inference_completions_cost': 7.5e-05}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:40.002122+00:00,google_frontier,google/gemini-3.1-pro-preview,t01_newer_vs_older_memory_supported_clean_selected_source__original_mc,t01_newer_vs_older_memory_supported_clean_selected_source,original_mc,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",88ac13a71eb9a35cb1ea88f7ede781d198508f658c6ebd462d1cd79d872615b5,True,200,1,4.003677845001221,Choice B,,"{'prompt_tokens': 154, 'completion_tokens': 153, 'total_tokens': 307, 'cost': 0.002144, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.002144, 'upstream_inference_prompt_cost': 0.000308, 'upstream_inference_completions_cost': 0.001836}, 'completion_tokens_details': {'reasoning_tokens': 151, 'image_tokens': 0, 'audio_tokens': 0}}",B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:41.359652+00:00,openai_frontier,openai/gpt-5.1,t01_newer_vs_older_memory_supported_clean_selected_source__mc_choices_not_evidence,t01_newer_vs_older_memory_supported_clean_selected_source,mc_choices_not_evidence,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",416bba88f562ac8e8463e94a624648bb93b2b54aad5e08013469530afc494fad,True,200,1,0.7551391124725342,FINAL: B,,"{'prompt_tokens': 191, 'completion_tokens': 13, 'total_tokens': 204, 'cost': 0.00036875, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00036875, 'upstream_inference_prompt_cost': 0.00023875, 'upstream_inference_completions_cost': 0.00013}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:42.985319+00:00,anthropic_frontier,anthropic/claude-sonnet-4.6,t01_newer_vs_older_memory_supported_clean_selected_source__mc_choices_not_evidence,t01_newer_vs_older_memory_supported_clean_selected_source,mc_choices_not_evidence,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",416bba88f562ac8e8463e94a624648bb93b2b54aad5e08013469530afc494fad,True,200,1,1.0239384174346924,FINAL: B,,"{'prompt_tokens': 219, 'completion_tokens': 7, 'total_tokens': 226, 'cost': 0.000762, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000762, 'upstream_inference_prompt_cost': 0.000657, 'upstream_inference_completions_cost': 0.000105}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:46.462879+00:00,google_frontier,google/gemini-3.1-pro-preview,t01_newer_vs_older_memory_supported_clean_selected_source__mc_choices_not_evidence,t01_newer_vs_older_memory_supported_clean_selected_source,mc_choices_not_evidence,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",416bba88f562ac8e8463e94a624648bb93b2b54aad5e08013469530afc494fad,True,200,1,2.875678062438965,FINAL: B,,"{'prompt_tokens': 208, 'completion_tokens': 75, 'total_tokens': 283, 'cost': 0.001316, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.001316, 'upstream_inference_prompt_cost': 0.000416, 'upstream_inference_completions_cost': 0.0009}, 'completion_tokens_details': {'reasoning_tokens': 72, 'image_tokens': 0, 'audio_tokens': 0}}",B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:47.780481+00:00,openai_frontier,openai/gpt-5.1,t01_newer_vs_older_memory_supported_clean_selected_source__open_ended_no_choices,t01_newer_vs_older_memory_supported_clean_selected_source,open_ended_no_choices,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f45421cdb739a3e0b36a62d05a291341c465421107e21146d134d2a86ec6ad59,True,200,1,0.7154335975646973,FINAL: morning meetings,,"{'prompt_tokens': 157, 'completion_tokens': 14, 'total_tokens': 171, 'cost': 0.00033625, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00033625, 'upstream_inference_prompt_cost': 0.00019625, 'upstream_inference_completions_cost': 0.00014}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:49.706912+00:00,anthropic_frontier,anthropic/claude-sonnet-4.6,t01_newer_vs_older_memory_supported_clean_selected_source__open_ended_no_choices,t01_newer_vs_older_memory_supported_clean_selected_source,open_ended_no_choices,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f45421cdb739a3e0b36a62d05a291341c465421107e21146d134d2a86ec6ad59,True,200,1,1.3245735168457031,FINAL: The user's current meeting preference is morning meetings.,,"{'prompt_tokens': 184, 'completion_tokens': 16, 'total_tokens': 200, 'cost': 0.000792, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000792, 'upstream_inference_prompt_cost': 0.000552, 'upstream_inference_completions_cost': 0.00024}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:53.279851+00:00,google_frontier,google/gemini-3.1-pro-preview,t01_newer_vs_older_memory_supported_clean_selected_source__open_ended_no_choices,t01_newer_vs_older_memory_supported_clean_selected_source,open_ended_no_choices,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f45421cdb739a3e0b36a62d05a291341c465421107e21146d134d2a86ec6ad59,True,200,1,2.970973014831543,FINAL: morning meetings,,"{'prompt_tokens': 173, 'completion_tokens': 155, 'total_tokens': 328, 'cost': 0.002206, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.002206, 'upstream_inference_prompt_cost': 0.000346, 'upstream_inference_completions_cost': 0.00186}, 'completion_tokens_details': {'reasoning_tokens': 151, 'image_tokens': 0, 'audio_tokens': 0}}",,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_ablation_v0_1_20260508_223131,2026-05-08T22:31:54.968853+00:00,openai_frontier,openai/gpt-5.1,t01_newer_vs_older_memory_supported_clean_selected_source__explicit_source_boundary,t01_newer_vs_older_memory_supported_clean_selected_source,explicit_source_boundary,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f36c5b89f24d086fd6833a292d2796062cfb201d249fc9651c1d419fa5a5bb4c,True,200,1,1.087045431137085,FINAL: B,,"{'prompt_tokens': 244, 'completion_tokens': 13, 'total_tokens': 257, 'cost': 0.000435, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000435, 'upstream_inference_prompt_cost': 0.000305, 'upstream_inference_completions_cost': 0.00013}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",B,False,False,False,True,True,True,False
