model_short_name,model_id,answer_policy,render_mode,n,final_accuracy,supported_n,supported_accuracy,overrefusal_rate,injected_supported_n,supported_injection_failure_rate,unsupported_n,unsupported_abstention_rate,unsupported_hallucination_rate,distractor_rate,invalid_rate,parse_ok_rate,A_rate,B_rate,INSUFFICIENT_rate
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,660.0,0.696969696969697,300.0,0.95,0.0,240.0,0.0625,360.0,0.4861111111111111,0.5138888888888888,0.17272727272727273,0.0,1.0,0.42272727272727273,0.31212121212121213,0.26515151515151514
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,660.0,0.8015151515151515,300.0,1.0,0.0,240.0,0.0,360.0,0.6361111111111111,0.3638888888888889,0.09545454545454546,0.0,1.0,0.353030303030303,0.3,0.346969696969697
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw,660.0,0.7166666666666667,300.0,0.9233333333333333,0.0,240.0,0.09583333333333334,360.0,0.5444444444444444,0.45555555555555555,0.15,0.0,1.0,0.3893939393939394,0.31363636363636366,0.296969696969697
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,sanitized,660.0,0.8136363636363636,300.0,0.9966666666666667,0.0,240.0,0.004166666666666667,360.0,0.6611111111111111,0.3388888888888889,0.0803030303030303,0.0,1.0,0.3484848484848485,0.2909090909090909,0.3606060606060606
Gemma-2-27B-it,google/gemma-2-27b-it,direct_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
Gemma-2-27B-it,google/gemma-2-27b-it,direct_answer,raw,660.0,0.6681818181818182,300.0,0.7466666666666667,0.09333333333333334,240.0,0.30833333333333335,360.0,0.6027777777777777,0.3972222222222222,0.1803030303030303,0.0,1.0,0.3151515151515151,0.31363636363636366,0.3712121212121212
Gemma-2-27B-it,google/gemma-2-27b-it,direct_answer,sanitized,660.0,0.806060606060606,300.0,0.94,0.0,240.0,0.06666666666666667,360.0,0.6944444444444444,0.3055555555555556,0.11515151515151516,0.0,1.0,0.31666666666666665,0.30454545454545456,0.3787878787878788
Gemma-2-27B-it,google/gemma-2-27b-it,quarantined_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
