model_short_name,answer_policy,render_mode,n,parse_ok_preserved,parse_ok_common_v04,invalid_preserved,invalid_common_v04,final_accuracy_preserved,final_accuracy_common_v04,parse_ok_delta_preserved_minus_common,final_accuracy_delta_preserved_minus_common
DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,660,1.0,0.9848484848484849,0.0,0.015151515151515152,1.0,0.9848484848484849,0.015151515151515138,0.015151515151515138
DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,660,1.0,0.8818181818181818,0.0,0.11818181818181818,0.696969696969697,0.6590909090909091,0.11818181818181817,0.037878787878787956
DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,660,1.0,0.8848484848484849,0.0,0.11515151515151516,0.8015151515151515,0.759090909090909,0.11515151515151512,0.042424242424242475
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw,660,1.0,0.9787878787878788,0.0,0.021212121212121213,0.7166666666666667,0.7121212121212122,0.021212121212121238,0.004545454545454519
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,sanitized,660,1.0,0.9636363636363636,0.0,0.03636363636363636,0.8136363636363636,0.8075757575757576,0.036363636363636376,0.006060606060605989
Gemma-2-27B-it,direct_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Gemma-2-27B-it,direct_answer,raw,660,1.0,1.0,0.0,0.0,0.6681818181818182,0.6681818181818182,0.0,0.0
Gemma-2-27B-it,direct_answer,sanitized,660,1.0,1.0,0.0,0.0,0.806060606060606,0.806060606060606,0.0,0.0
Gemma-2-27B-it,quarantined_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Gemma-2-27B-it,quarantined_answer,raw,660,1.0,1.0,0.0,0.0,0.7,0.7,0.0,0.0
Gemma-2-27B-it,quarantined_answer,sanitized,660,1.0,1.0,0.0,0.0,0.7681818181818182,0.7681818181818182,0.0,0.0
Mistral-Nemo-12B,direct_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mistral-Nemo-12B,direct_answer,raw,660,0.9712121212121212,0.9712121212121212,0.02878787878787879,0.02878787878787879,0.5515151515151515,0.5515151515151515,0.0,0.0
Mistral-Nemo-12B,direct_answer,sanitized,660,0.9984848484848485,0.9984848484848485,0.0015151515151515152,0.0015151515151515152,0.8772727272727273,0.8772727272727273,0.0,0.0
Mistral-Nemo-12B,quarantined_answer,fact_only,660,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.990909090909091,0.990909090909091,0.0,0.0
Mistral-Nemo-12B,quarantined_answer,raw,660,0.8227272727272728,0.8227272727272728,0.17727272727272728,0.17727272727272728,0.37272727272727274,0.37272727272727274,0.0,0.0
Mistral-Nemo-12B,quarantined_answer,sanitized,660,0.7909090909090909,0.7909090909090909,0.20909090909090908,0.20909090909090908,0.6363636363636364,0.6363636363636364,0.0,0.0
Mistral-Small-24B,direct_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mistral-Small-24B,direct_answer,raw,660,1.0,1.0,0.0,0.0,0.9212121212121213,0.9212121212121213,0.0,0.0
Mistral-Small-24B,direct_answer,sanitized,660,1.0,1.0,0.0,0.0,0.8757575757575757,0.8757575757575757,0.0,0.0
Mistral-Small-24B,quarantined_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mistral-Small-24B,quarantined_answer,raw,660,1.0,1.0,0.0,0.0,0.9878787878787879,0.9878787878787879,0.0,0.0
Mistral-Small-24B,quarantined_answer,sanitized,660,1.0,1.0,0.0,0.0,0.953030303030303,0.953030303030303,0.0,0.0
Qwen2.5-14B,direct_answer,fact_only,660,1.0,1.0,0.0,0.0,0.9318181818181818,0.9318181818181818,0.0,0.0
Qwen2.5-14B,direct_answer,raw,660,1.0,1.0,0.0,0.0,0.8924242424242425,0.8924242424242425,0.0,0.0
Qwen2.5-14B,direct_answer,sanitized,660,1.0,1.0,0.0,0.0,0.9878787878787879,0.9878787878787879,0.0,0.0
Qwen2.5-14B,quarantined_answer,fact_only,660,1.0,1.0,0.0,0.0,0.8863636363636364,0.8863636363636364,0.0,0.0
Qwen2.5-14B,quarantined_answer,raw,660,1.0,1.0,0.0,0.0,0.9303030303030303,0.9303030303030303,0.0,0.0
Qwen2.5-14B,quarantined_answer,sanitized,660,1.0,1.0,0.0,0.0,0.9651515151515152,0.9651515151515152,0.0,0.0
Qwen2.5-32B,direct_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Qwen2.5-32B,direct_answer,raw,660,1.0,1.0,0.0,0.0,0.8136363636363636,0.8136363636363636,0.0,0.0
Qwen2.5-32B,direct_answer,sanitized,660,1.0,1.0,0.0,0.0,0.906060606060606,0.906060606060606,0.0,0.0
Qwen2.5-32B,quarantined_answer,fact_only,660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Qwen2.5-32B,quarantined_answer,raw,660,1.0,1.0,0.0,0.0,0.8696969696969697,0.8696969696969697,0.0,0.0
Qwen2.5-32B,quarantined_answer,sanitized,660,1.0,1.0,0.0,0.0,0.9121212121212121,0.9121212121212121,0.0,0.0
Qwen2.5-7B,direct_answer,fact_only,660,1.0,1.0,0.0,0.0,0.9924242424242424,0.9924242424242424,0.0,0.0
