model_family,model_id,is_supported,prompt_policy,n,semantic_accuracy,admissibility_accuracy,format_compliance_rate,answer_attempt_on_insufficient_rate,insufficient_like_rate
anthropic_frontier,anthropic/claude-sonnet-4.6,False,explicit_source_boundary,90,1.0,1.0,1.0,0.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,False,mc_choices_not_evidence,90,0.7555555555555555,0.7555555555555555,0.9888888888888889,0.24444444444444444,0.9888888888888889
anthropic_frontier,anthropic/claude-sonnet-4.6,False,open_ended_no_choices,90,0.7333333333333333,0.7333333333333333,1.0,0.26666666666666666,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,False,original_mc,90,0.0,0.0,0.0,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,explicit_source_boundary,30,1.0,1.0,1.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,mc_choices_not_evidence,30,1.0,1.0,1.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,open_ended_no_choices,30,1.0,1.0,0.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,original_mc,30,1.0,1.0,0.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,False,explicit_source_boundary,90,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.08888888888888889,0.9111111111111111
google_frontier,google/gemini-3.1-pro-preview,False,mc_choices_not_evidence,90,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.24444444444444444,0.7555555555555555
google_frontier,google/gemini-3.1-pro-preview,False,open_ended_no_choices,90,0.6111111111111112,0.6111111111111112,0.6333333333333333,0.3888888888888889,0.6111111111111112
google_frontier,google/gemini-3.1-pro-preview,False,original_mc,90,0.0,0.0,0.7666666666666667,1.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,explicit_source_boundary,30,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,mc_choices_not_evidence,30,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,open_ended_no_choices,30,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,original_mc,30,0.9,0.9,0.6666666666666666,0.0,0.0
openai_frontier,openai/gpt-5.1,False,explicit_source_boundary,90,1.0,1.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,False,mc_choices_not_evidence,90,0.9444444444444444,0.9444444444444444,1.0,0.05555555555555555,0.9444444444444444
openai_frontier,openai/gpt-5.1,False,open_ended_no_choices,90,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334
openai_frontier,openai/gpt-5.1,False,original_mc,90,0.0,0.0,0.0,1.0,0.0
openai_frontier,openai/gpt-5.1,True,explicit_source_boundary,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0,0.0
openai_frontier,openai/gpt-5.1,True,mc_choices_not_evidence,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0,0.0
openai_frontier,openai/gpt-5.1,True,open_ended_no_choices,30,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0
openai_frontier,openai/gpt-5.1,True,original_mc,30,1.0,1.0,0.0,0.0,0.0
