model_family,model_id,prompt_policy,n,admissibility_accuracy,answer_attempt_on_insufficient_rate,insufficient_like_rate,format_compliance_rate
anthropic_frontier,anthropic/claude-sonnet-4.6,explicit_source_boundary,90,1.0,0.0,1.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,mc_choices_not_evidence,90,0.7555555555555555,0.24444444444444444,0.9888888888888889,0.9888888888888889
anthropic_frontier,anthropic/claude-sonnet-4.6,open_ended_no_choices,90,0.7333333333333333,0.26666666666666666,1.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,original_mc,90,0.0,1.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,explicit_source_boundary,90,0.9111111111111111,0.08888888888888889,0.9111111111111111,0.9111111111111111
google_frontier,google/gemini-3.1-pro-preview,mc_choices_not_evidence,90,0.7555555555555555,0.24444444444444444,0.7555555555555555,0.7555555555555555
google_frontier,google/gemini-3.1-pro-preview,open_ended_no_choices,90,0.6111111111111112,0.3888888888888889,0.6111111111111112,0.6333333333333333
google_frontier,google/gemini-3.1-pro-preview,original_mc,90,0.0,1.0,0.0,0.7666666666666667
openai_frontier,openai/gpt-5.1,explicit_source_boundary,90,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,mc_choices_not_evidence,90,0.9444444444444444,0.05555555555555555,0.9444444444444444,1.0
openai_frontier,openai/gpt-5.1,open_ended_no_choices,90,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.8333333333333334
openai_frontier,openai/gpt-5.1,original_mc,90,0.0,1.0,0.0,0.0
