model_family,model_id,family,is_supported,prompt_policy,n,admissibility_accuracy,answer_attempt_on_insufficient_rate
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,False,explicit_source_boundary,30,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,False,mc_choices_not_evidence,30,0.7666666666666667,0.23333333333333334
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,False,open_ended_no_choices,30,0.8333333333333334,0.16666666666666666
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,False,original_mc,30,0.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,True,explicit_source_boundary,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,True,mc_choices_not_evidence,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,True,open_ended_no_choices,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_archived_policy,True,original_mc,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,False,explicit_source_boundary,30,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,False,mc_choices_not_evidence,30,0.9666666666666667,0.03333333333333333
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,False,open_ended_no_choices,30,0.7666666666666667,0.23333333333333334
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,False,original_mc,30,0.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,True,explicit_source_boundary,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,True,mc_choices_not_evidence,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,True,open_ended_no_choices,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,current_vs_old_software_docs,True,original_mc,10,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,newer_vs_older_memory,False,explicit_source_boundary,30,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,newer_vs_older_memory,False,mc_choices_not_evidence,30,0.5333333333333333,0.4666666666666667
anthropic_frontier,anthropic/claude-sonnet-4.6,newer_vs_older_memory,False,open_ended_no_choices,30,0.6,0.4
